Tool:	elog
Version:	2.0
Date:	2025-07-03 14:03:47
System Name:	C:/Users/DELL/OneDrive/Máy tính/Gofa_caffe_1/Virtual Controllers/CRB15000_5_95
RobotWare:	7.18.1
RobotControl:	7.18.1
Controller Name:	CRB15000_5_95
Controller Id:	VIRTUAL_CONTROLLER



Common log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
275       	E		Common              	71391   	<title>   	1970-01-01 07:00:29:669057	<description>	{args: "MechUnitNotMoving"}
273       	W		Common              	40210   	<title>   	1970-01-01 07:00:29:669045	<description>	{args: "T_GOFA_LED"}
272       	I		Common              	10015   	<title>   	1970-01-01 07:00:29:669039	<description>	
271       	E		Common              	20012   	<title>   	1970-01-01 07:00:29:669031	<description>	{args: "120"}
269       	I		Common              	10014   	<title>   	1970-01-01 07:00:29:669010	<description>	
264       	E		Common              	34312   	<title>   	1970-01-01 07:00:17:163025	<description>	{args: "rob1_1", "1", "1"}
263       	I		Common              	10045   	<title>   	1970-01-01 07:00:00:033013	<description>	
262       	I		Common              	10056   	<title>   	1970-01-01 07:12:47:971003	<description>	
261       	I		Common              	10401   	<title>   	1970-01-01 07:12:47:950001	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
260       	I		Common              	10401   	<title>   	1970-01-01 07:12:47:934001	<description>	{args: "Admin", "RobAPI2-Client"}
259       	I		Common              	10149   	<title>   	1970-01-01 07:10:57:114003	<description>	{args: "T_ROB1", "PickPhin", "Default User"}
258       	I		Common              	10002   	<title>   	1970-01-01 07:10:48:399001	<description>	{args: "2", "0", "T_ROB1"}
257       	I		Common              	10149   	<title>   	1970-01-01 07:10:45:090003	<description>	{args: "T_ROB1", "PickPhin", "Default User"}
256       	I		Common              	10002   	<title>   	1970-01-01 07:10:44:946013	<description>	{args: "2", "0", "T_ROB1"}
255       	I		Common              	10010   	<title>   	1970-01-01 07:09:46:514023	<description>	
254       	W		Common              	90526   	<title>   	1970-01-01 07:09:46:510001	<description>	
253       	I		Common              	10012   	<title>   	1970-01-01 07:09:42:518019	<description>	
252       	I		Common              	10400   	<title>   	1970-01-01 07:09:41:946004	<description>	{args: "Admin", "RobAPI2-Client"}
251       	I		Common              	10400   	<title>   	1970-01-01 07:09:41:931002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
250       	I		Common              	10401   	<title>   	1970-01-01 07:09:34:215000	<description>	{args: "Admin", "RobAPI2-Client"}
249       	I		Common              	10401   	<title>   	1970-01-01 07:09:30:664000	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
248       	I		Common              	10125   	<title>   	1970-01-01 07:02:13:289017	<description>	{args: "2", "T_ROB1", "17"}
247       	I		Common              	10151   	<title>   	1970-01-01 07:02:01:838026	<description>	{args: "2", "T_ROB1"}
246       	I		Common              	10053   	<title>   	1970-01-01 07:02:01:838018	<description>	{args: "0"}
245       	I		Common              	10052   	<title>   	1970-01-01 07:02:01:481023	<description>	{args: "0"}
244       	I		Common              	10149   	<title>   	1970-01-01 07:02:01:262003	<description>	{args: "T_ROB1", "main", "Admin"}
243       	I		Common              	10002   	<title>   	1970-01-01 07:02:01:116015	<description>	{args: "2", "0", "T_ROB1"}
242       	I		Common              	10011   	<title>   	1970-01-01 07:01:55:742018	<description>	
241       	I		Common              	10010   	<title>   	1970-01-01 07:01:40:202023	<description>	
240       	W		Common              	90526   	<title>   	1970-01-01 07:01:40:198001	<description>	
239       	I		Common              	10012   	<title>   	1970-01-01 07:01:36:202012	<description>	
238       	I		Common              	10011   	<title>   	1970-01-01 07:01:36:192025	<description>	
237       	I		Common              	10400   	<title>   	1970-01-01 07:01:35:367002	<description>	{args: "Admin", "RobAPI2-Client"}
236       	I		Common              	10400   	<title>   	1970-01-01 07:01:35:319005	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
235       	I		Common              	10150   	<title>   	1970-01-01 07:01:33:395224	<description>	{args: "1", "SC_CBC"}
234       	I		Common              	10150   	<title>   	1970-01-01 07:01:33:395211	<description>	{args: "3", "T_GOFA_LED"}
233       	I		Common              	10129   	<title>   	1970-01-01 07:01:33:395200	<description>	{args: "3", "T_GOFA_LED", "9"}
232       	I		Common              	10129   	<title>   	1970-01-01 07:01:33:395173	<description>	{args: "2", "T_ROB1", "9"}
231       	I		Common              	10150   	<title>   	1970-01-01 07:01:33:395146	<description>	{args: "3", "T_GOFA_LED"}
230       	I		Common              	10155   	<title>   	1970-01-01 07:01:33:395138	<description>	{args: "2", "T_ROB1"}
229       	I		Common              	10002   	<title>   	1970-01-01 07:01:33:395125	<description>	{args: "3", "0", "T_GOFA_LED"}
228       	I		Common              	10002   	<title>   	1970-01-01 07:01:33:395116	<description>	{args: "1", "0", "SC_CBC"}
227       	W		Common              	40210   	<title>   	1970-01-01 07:01:33:395107	<description>	{args: "T_GOFA_LED"}
226       	I		Common              	10017   	<title>   	1970-01-01 07:01:33:395037	<description>	
225       	I		Common              	10010   	<title>   	1970-01-01 07:01:33:395010	<description>	
224       	W		Common              	90526   	<title>   	1970-01-01 07:01:32:962001	<description>	
223       	I		Common              	10045   	<title>   	1970-01-01 07:00:00:060013	<description>	
222       	I		Common              	10056   	<title>   	1970-01-01 07:04:32:577002	<description>	
221       	I		Common              	10401   	<title>   	1970-01-01 07:04:32:070002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
220       	I		Common              	10401   	<title>   	1970-01-01 07:04:32:046000	<description>	{args: "Admin", "RobAPI2-Client"}
219       	I		Common              	10010   	<title>   	1970-01-01 07:02:43:412023	<description>	
218       	W		Common              	90526   	<title>   	1970-01-01 07:02:43:408001	<description>	
217       	I		Common              	10012   	<title>   	1970-01-01 07:02:39:412023	<description>	
216       	W		Common              	90526   	<title>   	1970-01-01 07:01:45:760001	<description>	
215       	I		Common              	10010   	<title>   	1970-01-01 07:01:45:268040	<description>	
214       	E		Common              	90867   	<title>   	1970-01-01 07:01:45:268012	<description>	
213       	I		Common              	10012   	<title>   	1970-01-01 07:01:41:768083	<description>	
212       	I		Common              	10010   	<title>   	1970-01-01 07:01:41:768061	<description>	
211       	I		Common              	10011   	<title>   	1970-01-01 07:01:41:768030	<description>	
210       	I		Common              	10400   	<title>   	1970-01-01 07:01:40:864002	<description>	{args: "Admin", "RobAPI2-Client"}
209       	I		Common              	10400   	<title>   	1970-01-01 07:01:40:789002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
208       	I		Common              	10150   	<title>   	1970-01-01 07:01:37:501224	<description>	{args: "1", "SC_CBC"}
207       	I		Common              	10150   	<title>   	1970-01-01 07:01:37:501211	<description>	{args: "3", "T_GOFA_LED"}
206       	I		Common              	10129   	<title>   	1970-01-01 07:01:37:501200	<description>	{args: "3", "T_GOFA_LED", "9"}
205       	I		Common              	10129   	<title>   	1970-01-01 07:01:37:501173	<description>	{args: "2", "T_ROB1", "9"}
204       	I		Common              	10150   	<title>   	1970-01-01 07:01:37:501146	<description>	{args: "3", "T_GOFA_LED"}
203       	I		Common              	10155   	<title>   	1970-01-01 07:01:37:501138	<description>	{args: "2", "T_ROB1"}
